Entity,Code,Year,Tobacco smoking
Gambia,GMB,2000,261
Gambia,GMB,2005,294
Gambia,GMB,2006,302
Gambia,GMB,2010,315
Gambia,GMB,2016,349
Georgia,GEO,1990,6805
Georgia,GEO,1995,5784
Georgia,GEO,2000,5686
Georgia,GEO,2005,6600
Georgia,GEO,2006,6524
Georgia,GEO,2010,6754
Georgia,GEO,2016,6132
Germany,DEU,1990,140818
Germany,DEU,1995,130416
Germany,DEU,2000,120019
Germany,DEU,2005,117389
Germany,DEU,2006,117259
Germany,DEU,2010,118839
Germany,DEU,2016,120655
Ghana,GHA,1990,2318
Ghana,GHA,1995,2652
Ghana,GHA,2000,3514
Ghana,GHA,2005,4165
Ghana,GHA,2006,4248
Ghana,GHA,2010,4344
Ghana,GHA,2016,4321
Greece,GRC,1990,17025
Greece,GRC,1995,18118
Greece,GRC,2000,18794
Greece,GRC,2005,19345
Greece,GRC,2006,19344
Greece,GRC,2010,20163
Greece,GRC,2016,21146
Greenland,GRL,1990,128
Greenland,GRL,1995,125
Greenland,GRL,2000,134
Greenland,GRL,2005,138
Greenland,GRL,2006,133
Greenland,GRL,2010,131
Greenland,GRL,2016,131
Grenada,GRD,1990,44
Grenada,GRD,1995,43
Grenada,GRD,2000,44
Grenada,GRD,2005,49
Grenada,GRD,2006,49
Grenada,GRD,2010,48
Grenada,GRD,2016,54
Guam,GUM,1990,109
Guam,GUM,1995,125
Guam,GUM,2000,147
Guam,GUM,2005,178
Guam,GUM,2006,187
Guam,GUM,2010,224
Guam,GUM,2016,266
Guatemala,GTM,1990,1398
Guatemala,GTM,1995,1650
Guatemala,GTM,2000,1846
Guatemala,GTM,2005,1870
Guatemala,GTM,2006,1811
Guatemala,GTM,2010,1724
Guatemala,GTM,2016,1952
Guinea,GIN,1990,1439
Guinea,GIN,1995,2084
Guinea,GIN,2000,2539
Guinea,GIN,2005,2700
Guinea,GIN,2006,2797
Guinea,GIN,2010,3257
Guinea,GIN,2016,3781
Guinea-Bissau,GNB,1990,504
Guinea-Bissau,GNB,1995,525
Guinea-Bissau,GNB,2000,562
Guinea-Bissau,GNB,2005,624
Guinea-Bissau,GNB,2006,636
Guinea-Bissau,GNB,2010,708
Guinea-Bissau,GNB,2016,805
Guyana,GUY,1990,371
Guyana,GUY,1995,371
Guyana,GUY,2000,343
Guyana,GUY,2005,385
Guyana,GUY,2006,386
