Entity,Code,Year,70+ years old (deaths),15-49 years old (deaths),50-69 years old (deaths)
Sierra Leone,SLE,1995,331.481148087,407.187641541,857.607449593
Sierra Leone,SLE,2000,306.811697572,434.56497485,905.492251447
Sierra Leone,SLE,2005,386.471936205,562.700553745,1133.30553453
Sierra Leone,SLE,2006,407.017511995,583.556399266,1166.55436468
Sierra Leone,SLE,2010,463.344651481,652.056060411,1264.36858614
Sierra Leone,SLE,2016,551.886822095,703.446356488,1309.7117226
Singapore,SGP,1990,1077.55914369,211.988160586,1004.97273021
Singapore,SGP,1995,1122.70430188,191.527422437,903.131662011
Singapore,SGP,2000,1077.72011746,170.533219441,781.032272774
Singapore,SGP,2005,1100.4034295,149.558723239,727.997944595
Singapore,SGP,2006,1161.34952838,146.433877751,715.118066708
Singapore,SGP,2010,1048.08013967,120.407746058,686.528487427
Singapore,SGP,2016,1175.0116866,89.3941879996,684.573164602
Slovakia,SVK,1990,2697.88314076,1144.27341427,5653.18155877
Slovakia,SVK,1995,2636.85166887,1024.77068549,4597.6394059
Slovakia,SVK,2000,2621.99079272,933.180261938,4161.68311427
Slovakia,SVK,2005,2562.63033622,771.45140814,4021.67769632
Slovakia,SVK,2006,2548.24036666,737.654420703,4046.62854223
Slovakia,SVK,2010,2526.63339397,562.23069674,4069.93771286
Slovakia,SVK,2016,2687.40063748,434.931390998,3913.96077523
Slovenia,SVN,1990,1162.320556,264.61233025,1651.03438252
Slovenia,SVN,1995,1184.38429566,269.726891509,1636.48311773
Slovenia,SVN,2000,1370.60216296,257.925330135,1363.0964036
Slovenia,SVN,2005,1440.56273035,191.000259152,1180.04201894
Slovenia,SVN,2006,1407.2359767,178.271884781,1168.70411632
Slovenia,SVN,2010,1377.68604861,128.934768531,1056.33740874
Slovenia,SVN,2016,1313.17743305,86.9662573799,991.052681239
Solomon Islands,SLB,1990,89.8731251357,94.9703808149,176.567155677
Solomon Islands,SLB,1995,95.2661285039,100.984633896,195.614346717
Solomon Islands,SLB,2000,102.147006913,117.880470196,219.066479761
Solomon Islands,SLB,2005,125.489119418,155.130712318,254.161477238
Solomon Islands,SLB,2006,130.208087202,164.105158983,263.490844012
Solomon Islands,SLB,2010,149.275488308,192.450600161,297.13198924
Solomon Islands,SLB,2016,163.066179838,207.593226217,326.468888506
Somalia,SOM,1990,700.392760072,591.070119576,1169.08408602
Somalia,SOM,1995,688.994433739,590.949793718,1130.31346605
Somalia,SOM,2000,752.115745141,623.915187229,1211.35150368
Somalia,SOM,2005,780.899921776,638.945682787,1272.88426897
Somalia,SOM,2006,785.683724161,638.312466308,1277.13968873
Somalia,SOM,2010,771.573862587,646.429089178,1284.64426173
Somalia,SOM,2016,756.674766144,696.929317281,1390.30166367
South Africa,ZAF,1990,9499.29298285,7884.2130443,12664.1133937
South Africa,ZAF,1995,11246.4047105,7636.81309577,14600.6419493
South Africa,ZAF,2000,15220.8386851,10154.3494637,21537.9656515
South Africa,ZAF,2005,12811.1941212,9366.87804522,21009.8023099
South Africa,ZAF,2006,12859.3868335,8796.65370514,21456.4289439
South Africa,ZAF,2010,13549.3737532,5740.25806166,21288.2137527
South Africa,ZAF,2016,12409.9162992,5606.31267904,18642.2074639
South Asia,,1990,162585.440458,126476.347536,351252.405166
South Asia,,1995,189210.89318,141510.462057,384146.769633
South Asia,,2000,222536.048549,160977.292937,413090.347589
South Asia,,2005,254916.137269,170341.856422,439243.380759
South Asia,,2006,262808.22707,172438.37406,445225.842109
South Asia,,2010,304409.488821,177456.287258,480573.292413
South Asia,,2016,356440.07489,163215.353336,501885.880756
South Korea,KOR,1990,14323.6044276,5839.83090941,17485.8525227
South Korea,KOR,1995,18040.7773141,4386.02388837,16637.5004403
South Korea,KOR,2000,21711.1202683,4000.28769217,16482.8045559
South Korea,KOR,2005,22854.9039957,3265.09612902,14164.4576215
South Korea,KOR,2006,22935.6162442,3000.3034338,13430.2923271
South Korea,KOR,2010,24623.4887603,2246.21034764,11325.7872923
South Korea,KOR,2016,29980.9526114,1797.75434472,11822.5230661
South Sudan,SSD,1990,293.356429415,270.157540922,543.211404647
South Sudan,SSD,1995,338.640981684,267.825107348,590.894115978
South Sudan,SSD,2000,443.322769328,306.052013894,727.288800335
South Sudan,SSD,2005,523.820628906,360.837344848,793.912738928
South Sudan,SSD,2006,552.866933949,385.169882282,829.889538098
South Sudan,SSD,2010,637.563764935,445.375144655,915.456092305
South Sudan,SSD,2016,787.303256346,579.489678056,1132.18263676
Southeast Asia,,1990,143327.588489,61356.4749614,169454.740753
Southeast Asia,,1995,169588.295887,71334.9355563,188024.554748
Southeast Asia,,2000,196544.782018,83149.7194813,201618.619664
Southeast Asia,,2005,223555.944597,89369.8482403,219246.347299
Southeast Asia,,2006,228875.342811,90194.4087778,221938.387188
Southeast Asia,,2010,240361.001849,91086.1470392,235201.281504
Southeast Asia,,2016,256498.409527,88841.1717855,272291.15898
Southern Latin America,,1990,20864.6682979,6359.77540767,26621.5898216
Southern Latin America,,1995,22900.4621807,6016.37217123,25479.4639026
Southern Latin America,,2000,26097.5367119,5402.45991381,24246.6724478
Southern Latin America,,2005,27824.069942,4734.36429055,24072.3820397
Southern Latin America,,2006,27878.1887708,4629.40293512,24074.0741814
Southern Latin America,,2010,29181.9163891,4340.46163945,24493.9977547
Southern Latin America,,2016,30873.454237,3972.68297781,24488.4522102
Southern Sub-Saharan Africa,,1990,12364.6419387,8821.17864743,15934.0069755
Southern Sub-Saharan Africa,,1995,14232.3386953,8701.08699226,17974.3832211
Southern Sub-Saharan Africa,,2000,19492.8335139,12010.2503686,26679.1789773
Southern Sub-Saharan Africa,,2005,17997.1507926,11601.0663147,27174.1376124
Southern Sub-Saharan Africa,,2006,18061.4408625,11051.6459805,27621.5280571
Southern Sub-Saharan Africa,,2010,18687.2455753,8053.58615858,27248.4555113
Southern Sub-Saharan Africa,,2016,17115.3743513,8038.31650745,23857.233903
Spain,ESP,1990,25653.881792,3833.11726055,21640.4132001
Spain,ESP,1995,28594.2019218,3853.7618097,20338.4162068
Spain,ESP,2000,31916.997208,3913.70133144,18741.0453727
Spain,ESP,2005,34584.61062,3981.52684103,17767.5430525
Spain,ESP,2006,34080.941811,3932.52908382,17672.5898704
Spain,ESP,2010,33411.6152442,3412.00248788,18179.1641289
Spain,ESP,2016,33290.7381332,2714.25429628,17546.7322828
Sri Lanka,LKA,1990,3540.747336,1161.02660708,3256.29137015
Sri Lanka,LKA,1995,3429.97864049,1318.1286512,3897.5003239
Sri Lanka,LKA,2000,3646.79061963,1504.98967336,4570.19008671
Sri Lanka,LKA,2005,4031.2888121,1295.80811482,4720.86158723
Sri Lanka,LKA,2006,4127.70859043,1272.75523151,4785.10132165
Sri Lanka,LKA,2010,4038.41401611,1112.90986399,4875.29399103
Sri Lanka,LKA,2016,4160.63982446,906.705370794,4679.62877032
Sub-Saharan Africa,,1990,43035.6856601,33655.6883432,69571.3787406
Sub-Saharan Africa,,1995,49097.4262069,36434.1340575,76718.0148561
Sub-Saharan Africa,,2000,57726.3363951,41852.3772112,90232.8002668
Sub-Saharan Africa,,2005,57329.7768684,42039.0592257,91808.7831401
Sub-Saharan Africa,,2006,57944.0800698,42005.6925288,93106.0487056
Sub-Saharan Africa,,2010,61756.0405638,42122.5906824,97399.0442581
Sub-Saharan Africa,,2016,66407.5201772,46207.9205982,102694.699065
Sudan,SDN,1990,1783.73176592,1844.32565188,3452.28101949
Sudan,SDN,1995,2185.85330144,2273.37322157,4232.59068212
Sudan,SDN,2000,2536.88651309,2431.16222279,4700.73278583
Sudan,SDN,2005,2918.82425472,2537.33883267,5090.5313814
Sudan,SDN,2006,2973.54505918,2570.05510103,5124.91133516
Sudan,SDN,2010,3056.45426669,2669.4856347,5079.29909118
Sudan,SDN,2016,3462.57866627,3058.69922456,5914.037978
Suriname,SUR,1990,52.2776230136,32.0265529849,93.2259892421
Suriname,SUR,1995,63.3098699203,37.1202343187,101.553616418
Suriname,SUR,2000,82.6400322594,41.3240355051,117.101626404
Suriname,SUR,2005,101.844324423,46.3653431732,132.956504775
Suriname,SUR,2006,105.09979106,46.8929617311,134.928335176
Suriname,SUR,2010,113.025688902,51.2922990277,146.536023042
Suriname,SUR,2016,127.115128243,51.4535741118,180.796188368
Swaziland,SWZ,1990,127.378754362,62.157163655,218.702324754
Swaziland,SWZ,1995,134.55641906,67.2934976322,225.31937465
Swaziland,SWZ,2000,193.991805033,97.6258586946,335.272445236
Swaziland,SWZ,2005,243.128831101,115.9309545,374.627167611
Swaziland,SWZ,2006,244.333483563,114.312514802,372.610597614
Swaziland,SWZ,2010,242.186768285,112.855367779,367.61762599
Swaziland,SWZ,2016,231.647144589,97.3987091135,322.510889704
Sweden,SWE,1990,7177.58065696,543.728239235,3706.75315131
Sweden,SWE,1995,6950.08683572,422.72372732,3156.31471267
Sweden,SWE,2000,7224.30632598,317.783269853,3045.27792184
Sweden,SWE,2005,7228.58939948,234.429745222,3156.9075138
Sweden,SWE,2006,7143.04478144,215.701239346,3093.44251788
Sweden,SWE,2010,6939.32284647,152.765408733,2866.39104589
Sweden,SWE,2016,7426.20343974,123.970990336,2586.49894555
Switzerland,CHE,1990,4675.8878746,532.538950744,3403.99569772
Switzerland,CHE,1995,4968.04329893,524.885538305,3179.38058983
Switzerland,CHE,2000,5125.60351358,456.700046091,2956.63636545
Switzerland,CHE,2005,4956.8005869,409.031722845,2763.36104205
Switzerland,CHE,2006,4989.17833774,377.789503616,2735.8509143
Switzerland,CHE,2010,5197.13381933,313.242478007,2705.35000305
Switzerland,CHE,2016,5497.58571263,229.034494217,2563.20570633
Syria,SYR,1990,1542.68677136,1347.32626889,2577.16380531
Syria,SYR,1995,1850.03149204,1636.85149575,2831.26735172
Syria,SYR,2000,2401.99407113,1882.77116257,3232.11117194
Syria,SYR,2005,2513.82268677,1744.79491074,3660.3092581
Syria,SYR,2006,2528.13027726,1741.68461293,3709.62194749
Syria,SYR,2010,2781.53658862,1907.8089085,4000.18823995
Syria,SYR,2016,2814.89982716,1567.37468867,4021.64872191
Taiwan,TWN,1990,7079.7168956,2311.40566732,8587.63246045
Taiwan,TWN,1995,9864.70707877,2882.53345382,9104.38893049
Taiwan,TWN,2000,12628.319785,3362.82742677,8404.714929
Taiwan,TWN,2005,14523.9304153,3548.00797993,8666.57925293
Taiwan,TWN,2006,14650.2124029,3542.65101484,8695.16697429
Taiwan,TWN,2010,16206.8260685,3163.19692274,8855.70462378
Taiwan,TWN,2016,18095.2225247,2600.83148418,9837.44451268
