,Entity,Year,smokeCount
844,Maldives,2006,124
845,Maldives,2010,130
846,Maldives,2016,144
847,Mali,1990,2115
848,Mali,1995,2017
849,Mali,2000,1823
850,Mali,2005,1807
851,Mali,2006,1812
852,Mali,2010,1898
853,Mali,2016,1911
854,Malta,1990,409
855,Malta,1995,409
856,Malta,2000,435
857,Malta,2005,387
858,Malta,2006,393
859,Malta,2010,399
860,Malta,2016,400
861,Marshall Islands,1990,25
862,Marshall Islands,1995,28
863,Marshall Islands,2000,31
864,Marshall Islands,2005,37
865,Marshall Islands,2006,39
866,Marshall Islands,2010,42
867,Marshall Islands,2016,47
868,Mauritania,1990,539
869,Mauritania,1995,558
870,Mauritania,2000,511
871,Mauritania,2005,495
872,Mauritania,2006,492
873,Mauritania,2010,532
874,Mauritania,2016,658
875,Mauritius,1990,1054
876,Mauritius,1995,1100
877,Mauritius,2000,1101
878,Mauritius,2005,963
879,Mauritius,2006,932
880,Mauritius,2010,876
881,Mauritius,2016,938
882,Mexico,1990,27938
883,Mexico,1995,31974
884,Mexico,2000,32387
885,Mexico,2005,33273
886,Mexico,2006,32156
887,Mexico,2010,34220
888,Mexico,2016,38786
889,Micronesia (country),1990,100
890,Micronesia (country),1995,111
891,Micronesia (country),2000,106
892,Micronesia (country),2005,107
893,Micronesia (country),2006,108
894,Micronesia (country),2010,114
895,Micronesia (country),2016,119
896,Middle SDI,1990,1555201
897,Middle SDI,1995,1754142
898,Middle SDI,2000,1944299
899,Middle SDI,2005,2057761
900,Middle SDI,2006,2022338
901,Middle SDI,2010,2091383
902,Middle SDI,2016,2110931
903,Moldova,1990,6424
904,Moldova,1995,7578
905,Moldova,2000,5563
906,Moldova,2005,6014
907,Moldova,2006,5809
908,Moldova,2010,5797
909,Moldova,2016,4936
910,Mongolia,1990,2139
911,Mongolia,1995,2669
912,Mongolia,2000,2721
913,Mongolia,2005,3205
914,Mongolia,2006,3215
915,Mongolia,2010,3283
916,Mongolia,2016,3589
917,Montenegro,1990,889
918,Montenegro,1995,1079
919,Montenegro,2000,1218
920,Montenegro,2005,1291
921,Montenegro,2006,1285
922,Montenegro,2010,1241
923,Montenegro,2016,1296
924,Morocco,1990,9381
925,Morocco,1995,9872
926,Morocco,2000,10101
927,Morocco,2005,11007
928,Morocco,2006,11148
929,Morocco,2010,11979
930,Morocco,2016,13533
931,Mozambique,1990,4200
932,Mozambique,1995,4735
933,Mozambique,2000,5513
934,Mozambique,2005,6111
935,Mozambique,2006,6381
936,Mozambique,2010,7772
937,Mozambique,2016,8448
938,Myanmar,1990,58440
939,Myanmar,1995,62072
940,Myanmar,2000,65037
941,Myanmar,2005,65412
942,Myanmar,2006,64519
943,Myanmar,2010,61295
944,Myanmar,2016,61937
945,Namibia,1990,782
946,Namibia,1995,916
947,Namibia,2000,1219
948,Namibia,2005,1161
949,Namibia,2006,1143
950,Namibia,2010,991
951,Namibia,2016,918
952,Nepal,1990,16335
953,Nepal,1995,18248
954,Nepal,2000,20558
955,Nepal,2005,24548
956,Nepal,2006,24950
957,Nepal,2010,26035
958,Nepal,2016,24917
959,Netherlands,1990,27524
960,Netherlands,1995,28879
961,Netherlands,2000,29325
962,Netherlands,2005,28710
963,Netherlands,2006,28502
964,Netherlands,2010,28919
965,Netherlands,2016,29196
966,New Zealand,1990,4869
967,New Zealand,1995,4677
968,New Zealand,2000,4334
969,New Zealand,2005,4145
970,New Zealand,2006,4182
971,New Zealand,2010,4144
972,New Zealand,2016,4457
973,Nicaragua,1990,436
974,Nicaragua,1995,558
975,Nicaragua,2000,569
976,Nicaragua,2005,638
977,Nicaragua,2006,640
978,Nicaragua,2010,705
979,Nicaragua,2016,864
980,Niger,1990,962
981,Niger,1995,995
982,Niger,2000,1157
983,Niger,2005,1457
984,Niger,2006,1545
985,Niger,2010,1861
986,Niger,2016,2421
987,Nigeria,1990,17510
988,Nigeria,1995,18683
989,Nigeria,2000,18717
990,Nigeria,2005,13008
991,Nigeria,2006,12220
992,Nigeria,2010,10834
993,Nigeria,2016,11026
994,North Africa and Middle East,1990,167379
995,North Africa and Middle East,1995,194365
