Entity,Code,Year,70+ years old (deaths),5-14 years old (deaths),15-49 years old (deaths),50-69 years old (deaths),Under-5s (deaths)
Mexico,MEX,1995,3652.09775415,71.6651695885,539.645083581,2241.07942571,1744.75705657
Mexico,MEX,2000,3345.01096225,50.7482316266,537.092570829,2082.01674506,1139.1602108
Mexico,MEX,2005,3633.99683153,41.4528707668,625.225775117,2215.39590862,759.521196877
Mexico,MEX,2006,3603.76487039,39.5341637307,633.068188629,2194.48195432,693.475571246
Mexico,MEX,2010,4038.1634659,32.4366269475,722.952930756,2366.15499257,489.273768407
Mexico,MEX,2016,5172.16829377,24.2818069549,841.496916273,3074.44703012,347.6451987
Micronesia (country),FSM,1990,4.58203984308,0.145256568132,1.44529084225,3.69986371087,2.87842318492
Micronesia (country),FSM,1995,5.16993893519,0.145000238385,1.69409582557,3.95364928139,2.06396581405
Micronesia (country),FSM,2000,5.30556884528,0.106595680802,1.90001134203,4.12441119814,1.09455253293
Micronesia (country),FSM,2005,6.25851099424,0.0855758818415,1.89975470046,4.48024857808,0.582641555402
Micronesia (country),FSM,2006,6.3589773986,0.0825767980955,1.88876779924,4.64145024612,0.537438908566
Micronesia (country),FSM,2010,6.31107274335,0.0713182842602,1.80372910911,5.5915681079,0.406446691146
Micronesia (country),FSM,2016,6.07203334043,0.0574554002963,1.64464603347,7.20565524165,0.331618261911
Moldova,MDA,1990,573.205686774,5.67827637598,56.250873949,391.641755209,105.925064633
Moldova,MDA,1995,653.618304587,6.86531963158,81.2316659053,456.759677307,76.5130540414
Moldova,MDA,2000,575.701192171,5.12673474878,68.9412821443,340.422177872,62.4441396583
Moldova,MDA,2005,537.655312543,2.14557796241,63.3569384898,314.440929719,26.1852954159
Moldova,MDA,2006,520.783351921,2.05046707191,60.1016863969,299.053107826,25.5372508039
Moldova,MDA,2010,442.052707635,1.52268813132,47.5726387935,254.225022014,24.3221522268
Moldova,MDA,2016,357.438260009,0.998269384395,33.0771340519,236.068179955,14.4938356456
Mongolia,MNG,1990,80.9161486355,8.99992974102,24.3614285479,63.797855831,332.816635046
Mongolia,MNG,1995,94.5258074705,8.84033387771,32.942748351,82.0077025421,200.807030975
Mongolia,MNG,2000,102.112413663,6.41860274531,46.3858584808,95.0959268858,134.87828384
Mongolia,MNG,2005,104.135382275,4.39971661963,55.0745279429,95.9230987929,87.4503475758
Mongolia,MNG,2006,99.2637487485,4.08383239059,54.7704756842,92.3694748553,82.5739349863
Mongolia,MNG,2010,85.8724928405,3.09799495924,54.0950036643,92.8670180024,72.2177938055
Mongolia,MNG,2016,94.1036956574,2.74491071489,43.9442441445,93.6118488714,46.3220612744
Montenegro,MNE,1990,57.1676736987,0.223387147773,4.89608172974,19.62104737,3.5697559423
Montenegro,MNE,1995,69.7482488309,0.24551899122,5.55697375561,25.3759537781,3.26207172138
Montenegro,MNE,2000,91.5292793581,0.262118443755,5.5326948023,28.7547420107,3.2826905501
Montenegro,MNE,2005,94.7292020483,0.166744063308,3.62758324027,25.9102728497,1.71565140852
Montenegro,MNE,2006,93.8899324982,0.155496469663,3.41836209725,24.6167428216,1.5015986796
Montenegro,MNE,2010,97.5569201924,0.122613841589,2.84475038745,20.9036858123,0.910332030678
Montenegro,MNE,2016,108.354575963,0.0968940936826,2.34618186942,23.1229398387,0.550489915124
Morocco,MAR,1990,1199.48369185,48.2112755484,350.506517432,1354.12102963,1306.07081343
Morocco,MAR,1995,1441.19718005,35.8938504308,380.804203676,1436.27357325,750.411418825
Morocco,MAR,2000,1774.78430643,27.1341281156,405.364144869,1318.27127292,430.700609131
Morocco,MAR,2005,2026.8258212,20.351385802,402.818733204,1322.8577775,248.154136926
Morocco,MAR,2006,2055.17856584,19.259900117,397.953101398,1321.82802047,223.156288767
Morocco,MAR,2010,2140.0897025,15.381377593,364.558550154,1345.02569082,145.840882258
Morocco,MAR,2016,2346.5078371,11.8323503398,340.73682134,1586.95336669,74.5684894028
Mozambique,MOZ,1990,223.52598821,47.1893975281,106.851603613,230.138123979,1066.61325937
