Entity,Code,Year,Smoking (deaths),Secondhand smoke (deaths)
Cameroon,CMR,1990,3327.19888669,1024.22226162
Cameroon,CMR,1995,3890.49316117,1158.38369854
Cameroon,CMR,2000,4916.34688921,1388.59472188
Cameroon,CMR,2005,5445.56892142,1316.31279703
Cameroon,CMR,2006,5525.01443698,1262.71518306
Cameroon,CMR,2010,5900.42392175,1339.5979696
Cameroon,CMR,2016,6680.99752927,1349.84959647
Canada,CAN,1990,40579.147721,2297.95176674
Canada,CAN,1995,42561.9165331,2350.63916229
Canada,CAN,2000,42655.3878952,2200.49423702
Canada,CAN,2005,43230.4041541,2014.22466988
Canada,CAN,2006,43267.2660898,2000.63108106
Canada,CAN,2010,42588.4612808,2004.85483949
Canada,CAN,2016,45946.5626535,2217.04465636
Cape Verde,CPV,1990,136.357473456,23.9842148542
Cape Verde,CPV,1995,149.842267432,23.6561390937
Cape Verde,CPV,2000,157.274006166,22.7441391147
Cape Verde,CPV,2005,186.298413953,22.2270551534
Cape Verde,CPV,2006,190.038939092,21.5973566523
Cape Verde,CPV,2010,203.904163395,20.7445102521
Cape Verde,CPV,2016,200.9908659,20.1802504753
Caribbean,,1990,26340.2696813,4094.12011505
Caribbean,,1995,28468.6949992,4187.31492396
Caribbean,,2000,29594.1977425,4038.61474324
Caribbean,,2005,30608.881908,3889.39846055
Caribbean,,2006,30828.3111825,3877.69931952
Caribbean,,2010,31702.8367147,3834.69944828
Caribbean,,2016,33828.2492475,4018.99605038
Central African Republic,CAF,1990,1483.74153913,422.391066372
Central African Republic,CAF,1995,1737.18370445,471.216735107
Central African Republic,CAF,2000,1955.81505775,506.911565743
Central African Republic,CAF,2005,2075.88752282,424.98654986
Central African Republic,CAF,2006,2112.2832453,437.404941088
Central African Republic,CAF,2010,2269.46172923,455.051261796
Central African Republic,CAF,2016,2648.62304417,449.759169207
Central Asia,,1990,60281.3237927,18602.1537105
Central Asia,,1995,72126.9713758,19633.1697352
Central Asia,,2000,68375.6942543,17962.6088297
Central Asia,,2005,72307.318959,17970.8883179
Central Asia,,2006,72050.9086701,17853.7652343
Central Asia,,2010,66990.1963357,16695.0392347
Central Asia,,2016,64419.304254,15572.4478008
Central Europe,,1990,236351.943092,29339.2742771
Central Europe,,1995,240781.412912,28624.984079
Central Europe,,2000,229656.582583,26349.132677
Central Europe,,2005,226754.908465,25468.5533022
Central Europe,,2006,226218.033047,25211.6971747
Central Europe,,2010,223553.319796,24652.2884269
Central Europe,,2016,206558.486267,23713.6137879
Central Latin America,,1990,56722.9775432,15151.2383765
Central Latin America,,1995,63934.727407,15367.3321761
Central Latin America,,2000,66697.9854993,14365.4476793
Central Latin America,,2005,70709.6186719,14341.5285428
Central Latin America,,2006,70971.4249348,14282.4807068
Central Latin America,,2010,74456.1156064,14957.7592664
Central Latin America,,2016,80599.2762003,17373.501223
Central Sub-Saharan Africa,,1990,14930.2911495,6125.52116642
Central Sub-Saharan Africa,,1995,17302.4784352,6751.79980579
Central Sub-Saharan Africa,,2000,19020.63826,7234.29583732
Central Sub-Saharan Africa,,2005,20010.1207422,7135.28645537
Central Sub-Saharan Africa,,2006,20444.9620698,7091.70298602
Central Sub-Saharan Africa,,2010,23287.7501969,6997.79864379
Central Sub-Saharan Africa,,2016,28205.8495364,6115.95489922
Chad,TCD,1990,1432.29994224,264.853849761
Chad,TCD,1995,1649.58531937,312.660278005
Chad,TCD,2000,2150.72552523,398.154115208
Chad,TCD,2005,2337.74268837,423.31404374
Chad,TCD,2006,2367.77056773,438.484766564
Chad,TCD,2010,2702.28285943,471.975733844
Chad,TCD,2016,3021.65128138,493.452126304
Chile,CHL,1990,9202.93633438,1601.98868687
Chile,CHL,1995,9114.91035891,1605.08014583
Chile,CHL,2000,8662.55639704,1353.28471826
Chile,CHL,2005,9231.01961228,1319.50595592
Chile,CHL,2006,9190.32303488,1282.39572492
Chile,CHL,2010,10008.0848232,1331.77124805
Chile,CHL,2016,10828.268643,1472.38010281
China,CHN,1990,1402682.06549,285317.053757
China,CHN,1995,1593362.44131,278789.238902
China,CHN,2000,1766871.93238,257343.906208
China,CHN,2005,1826366.99162,243381.704978
China,CHN,2006,1762404.88252,236338.181702
China,CHN,2010,1784484.13786,231492.553585
China,CHN,2016,1759071.54637,231455.697297
Colombia,COL,1990,14222.9087679,2896.53628504
Colombia,COL,1995,15766.3461292,3073.32045912
Colombia,COL,2000,16773.282283,3104.94316952
Colombia,COL,2005,18323.8838706,2931.85122113
Colombia,COL,2006,19095.9745611,2942.30882174
Colombia,COL,2010,19325.8805935,2832.96859726
Colombia,COL,2016,18474.6597692,2856.72556653
Comoros,COM,1990,138.320385735,62.9311479592
Comoros,COM,1995,152.625866633,62.6106399667
Comoros,COM,2000,152.046567405,58.061076439
Comoros,COM,2005,147.249117475,49.6822855178
Comoros,COM,2006,150.419985887,49.2474187869
Comoros,COM,2010,152.069309443,45.3257022085
Comoros,COM,2016,154.063145777,40.2441301629
Congo,COG,1990,1165.18018393,257.868539278
Congo,COG,1995,1286.07337723,297.638882394
Congo,COG,2000,1202.41513208,306.334582512
Congo,COG,2005,999.673556989,296.159120198
Congo,COG,2006,1000.44326177,292.695496425
Congo,COG,2010,1046.41971136,261.922673551
Congo,COG,2016,1246.49178476,242.265035283
Costa Rica,CRI,1990,742.065373964,179.283155232
Costa Rica,CRI,1995,860.131593708,188.485470839
Costa Rica,CRI,2000,1023.40009409,188.502015547
Costa Rica,CRI,2005,977.590662448,163.81465212
Costa Rica,CRI,2006,935.048623483,159.512313356
Costa Rica,CRI,2010,898.743392492,156.310313327
Costa Rica,CRI,2016,1014.62680668,195.646109973
Cote d'Ivoire,CIV,1990,3446.20750788,1915.99906836
Cote d'Ivoire,CIV,1995,4755.30284847,2298.57009417
Cote d'Ivoire,CIV,2000,5154.26087902,2479.87659058
Cote d'Ivoire,CIV,2005,5146.8951584,2722.73220426
Cote d'Ivoire,CIV,2006,5227.59328872,2767.42511699
Cote d'Ivoire,CIV,2010,5531.0698858,2370.32743319
Cote d'Ivoire,CIV,2016,6605.71370364,2631.36701775
Croatia,HRV,1990,11027.5738642,1370.28336695
Croatia,HRV,1995,10516.0484628,1403.60430816
Croatia,HRV,2000,9831.33966707,1318.13883591
Croatia,HRV,2005,9129.44434358,1361.45923387
Croatia,HRV,2006,9056.70902031,1350.08799577
Croatia,HRV,2010,8812.06240446,1300.20883543
Croatia,HRV,2016,8514.51224281,1280.78267468
Cuba,CUB,1990,13685.6324438,1757.49894553
Cuba,CUB,1995,14386.489269,1947.45437865
Cuba,CUB,2000,14984.8864302,1888.25717658
Cuba,CUB,2005,16113.1881794,1794.29909356
Cuba,CUB,2006,16285.2870178,1772.91347563
Cuba,CUB,2010,16815.9487285,1691.81021636
Cuba,CUB,2016,18044.2093951,1757.23074006
Cyprus,CYP,1990,661.416806853,107.528686397
Cyprus,CYP,1995,701.153014984,116.831600352
Cyprus,CYP,2000,692.324916734,112.766661244
Cyprus,CYP,2005,766.599276883,106.325232587
Cyprus,CYP,2006,750.159290274,103.722420027
Cyprus,CYP,2010,820.318420326,101.665854182
Cyprus,CYP,2016,835.613454169,108.392061967
Czech Republic,CZE,1990,23843.2771465,2687.87638706
Czech Republic,CZE,1995,21026.4535481,2270.21690355
Czech Republic,CZE,2000,19413.2494674,1987.31927117
Czech Republic,CZE,2005,18222.7106784,1967.83990893
Czech Republic,CZE,2006,17850.5753764,1953.71790079
Czech Republic,CZE,2010,17636.597032,2010.98260474
Czech Republic,CZE,2016,15938.3174837,2007.52653802
Democratic Republic of Congo,COD,1990,8520.08727906,3665.72407536
Democratic Republic of Congo,COD,1995,10111.3717374,4144.12263219
Democratic Republic of Congo,COD,2000,11692.2508755,4587.69159831
Democratic Republic of Congo,COD,2005,12547.9906897,4533.93714503
Democratic Republic of Congo,COD,2006,12867.309086,4499.8223797
Democratic Republic of Congo,COD,2010,15146.7787047,4464.63007561
Democratic Republic of Congo,COD,2016,18509.1023,3984.71563695
